NAME,B04004_045E,B04005_045E,state_fips,county_fips,guyanese_total_ancestry
"Albany County, New York",436,269,36,001,705
"Allegany County, New York",0,0,36,003,0
"Bronx County, New York",10080,3339,36,005,13419
"Broome County, New York",178,70,36,007,248
"Cattaraugus County, New York",0,0,36,009,0
"Cayuga County, New York",50,0,36,011,50
"Chautauqua County, New York",34,8,36,013,42
"Chemung County, New York",0,0,36,015,0
"Chenango County, New York",12,10,36,017,22
"Clinton County, New York",18,0,36,019,18
"Columbia County, New York",19,0,36,021,19
"Cortland County, New York",0,0,36,023,0
"Delaware County, New York",4,14,36,025,18
"Dutchess County, New York",339,244,36,027,583
"Erie County, New York",292,84,36,029,376
"Essex County, New York",8,0,36,031,8
"Franklin County, New York",13,0,36,033,13
"Fulton County, New York",0,0,36,035,0
"Genesee County, New York",0,0,36,037,0
"Greene County, New York",20,50,36,039,70
"Hamilton County, New York",0,0,36,041,0
"Herkimer County, New York",51,0,36,043,51
"Jefferson County, New York",24,17,36,045,41
"Kings County, New York",32660,5408,36,047,38068
"Lewis County, New York",0,0,36,049,0
"Livingston County, New York",0,0,36,051,0
"Madison County, New York",13,6,36,053,19
"Monroe County, New York",262,33,36,055,295
"Montgomery County, New York",31,0,36,057,31
"Nassau County, New York",8700,2488,36,059,11188
"New York County, New York",1563,705,36,061,2268
"Niagara County, New York",31,30,36,063,61
"Oneida County, New York",36,98,36,065,134
"Onondaga County, New York",249,37,36,067,286
"Ontario County, New York",32,15,36,069,47
"Orange County, New York",300,308,36,071,608
"Orleans County, New York",0,0,36,073,0
"Oswego County, New York",6,0,36,075,6
"Otsego County, New York",20,0,36,077,20
"Putnam County, New York",87,0,36,079,87
"Queens County, New York",58267,7986,36,081,66253
"Rensselaer County, New York",522,49,36,083,571
"Richmond County, New York",405,203,36,085,608
"Rockland County, New York",168,132,36,087,300
"St. Lawrence County, New York",24,0,36,089,24
"Saratoga County, New York",86,33,36,091,119
"Schenectady County, New York",4052,1025,36,093,5077
"Schoharie County, New York",0,0,36,095,0
"Schuyler County, New York",0,0,36,097,0
"Seneca County, New York",4,0,36,099,4
"Steuben County, New York",0,0,36,101,0
"Suffolk County, New York",2484,1241,36,103,3725
"Sullivan County, New York",184,0,36,105,184
"Tioga County, New York",7,0,36,107,7
"Tompkins County, New York",26,69,36,109,95
"Ulster County, New York",38,116,36,111,154
"Warren County, New York",20,22,36,113,42
"Washington County, New York",8,0,36,115,8
"Wayne County, New York",0,0,36,117,0
"Westchester County, New York",1203,735,36,119,1938
"Wyoming County, New York",9,0,36,121,9
"Yates County, New York",4,0,36,123,4
