NAME,B04004_045E,B04005_045E,state_fips,guyanese_total_ancestry,state_name
Alabama,144,18,01,162,Alabama
Alaska,106,35,02,141,Alaska
Arizona,194,409,04,603,Arizona
Arkansas,18,32,05,50,Arkansas
California,2136,2150,06,4286,California
Colorado,182,24,08,206,Colorado
Connecticut,2433,1212,09,3645,Connecticut
Delaware,458,119,10,577,Delaware
District of Columbia,501,356,11,857,District of Columbia
Florida,18773,9389,12,28162,Florida
Georgia,8216,3195,13,11411,Georgia
Hawaii,51,10,15,61,Hawaii
Idaho,28,0,16,28,Idaho
Illinois,872,653,17,1525,Illinois
Indiana,117,390,18,507,Indiana
Iowa,34,31,19,65,Iowa
Kansas,47,0,20,47,Kansas
Kentucky,18,57,21,75,Kentucky
Louisiana,419,67,22,486,Louisiana
Maine,10,89,23,99,Maine
Maryland,5267,3335,24,8602,Maryland
Massachusetts,904,1315,25,2219,Massachusetts
Michigan,177,191,26,368,Michigan
Minnesota,1542,823,27,2365,Minnesota
Mississippi,97,353,28,450,Mississippi
Missouri,66,57,29,123,Missouri
Montana,0,63,30,63,Montana
Nebraska,100,133,31,233,Nebraska
Nevada,51,64,32,115,Nevada
New Hampshire,41,8,33,49,New Hampshire
New Jersey,18477,6674,34,25151,New Jersey
New Mexico,33,0,35,33,New Mexico
New York,123079,24844,36,147923,New York
North Carolina,1288,1109,37,2397,North Carolina
North Dakota,0,4,38,4,North Dakota
Ohio,532,1257,39,1789,Ohio
Oklahoma,96,21,40,117,Oklahoma
Oregon,94,237,41,331,Oregon
Pennsylvania,2300,1473,42,3773,Pennsylvania
Rhode Island,116,102,44,218,Rhode Island
South Carolina,319,450,45,769,South Carolina
South Dakota,0,39,46,39,South Dakota
Tennessee,350,280,47,630,Tennessee
Texas,1784,1291,48,3075,Texas
Utah,89,15,49,104,Utah
Vermont,13,35,50,48,Vermont
Virginia,1251,982,51,2233,Virginia
Washington,395,313,53,708,Washington
West Virginia,297,32,54,329,West Virginia
Wisconsin,1,181,55,182,Wisconsin
Wyoming,0,0,56,0,Wyoming
Puerto Rico,9,0,72,9,72
