NAME,B05006_171E,state_fips,state_name
Alabama,228.0,01,Alabama
Alaska,102.0,02,Alaska
Arizona,636.0,04,Arizona
Arkansas,39.0,05,Arkansas
California,4040.0,06,California
Colorado,308.0,08,Colorado
Connecticut,4358.0,09,Connecticut
Delaware,729.0,10,Delaware
District of Columbia,488.0,11,District of Columbia
Florida,34838.0,12,Florida
Georgia,9925.0,13,Georgia
Hawaii,89.0,15,Hawaii
Idaho,64.0,16,Idaho
Illinois,1218.0,17,Illinois
Indiana,293.0,18,Indiana
Iowa,155.0,19,Iowa
Kansas,69.0,20,Kansas
Kentucky,271.0,21,Kentucky
Louisiana,640.0,22,Louisiana
Maine,61.0,23,Maine
Maryland,7838.0,24,Maryland
Massachusetts,1538.0,25,Massachusetts
Michigan,355.0,26,Michigan
Minnesota,3219.0,27,Minnesota
Mississippi,75.0,28,Mississippi
Missouri,204.0,29,Missouri
Montana,58.0,30,Montana
Nebraska,66.0,31,Nebraska
Nevada,139.0,32,Nevada
New Hampshire,41.0,33,New Hampshire
New Jersey,25271.0,34,New Jersey
New Mexico,51.0,35,New Mexico
New York,169165.0,36,New York
North Carolina,2147.0,37,North Carolina
North Dakota,0.0,38,North Dakota
Ohio,1120.0,39,Ohio
Oklahoma,259.0,40,Oklahoma
Oregon,42.0,41,Oregon
Pennsylvania,4512.0,42,Pennsylvania
Rhode Island,252.0,44,Rhode Island
South Carolina,905.0,45,South Carolina
South Dakota,0.0,46,South Dakota
Tennessee,650.0,47,Tennessee
Texas,3143.0,48,Texas
Utah,130.0,49,Utah
Vermont,0.0,50,Vermont
Virginia,2571.0,51,Virginia
Washington,410.0,53,Washington
West Virginia,289.0,54,West Virginia
Wisconsin,134.0,55,Wisconsin
Wyoming,0.0,56,Wyoming
Puerto Rico,,72,72
