STATE,weighted_count,state_name
04,996,Arizona
05,81,Arkansas
06,4772,California
08,110,Colorado
09,3647,Connecticut
10,1035,Delaware
11,1367,District of Columbia
12,33224,Florida
13,13128,Georgia
15,171,Hawaii
16,45,Idaho
17,397,Illinois
18,1133,Indiana
21,170,Kentucky
22,294,Louisiana
24,8334,Maryland
25,1309,Massachusetts
26,306,Michigan
27,2630,Minnesota
28,46,Mississippi
32,47,Nevada
34,23935,New Jersey
36,151024,New York
37,2542,North Carolina
38,4,North Dakota
39,398,Ohio
40,228,Oklahoma
41,191,Oregon
42,6477,Pennsylvania
45,1731,South Carolina
47,432,Tennessee
48,4348,Texas
51,4032,Virginia
53,327,Washington
54,90,West Virginia
