var,code,weight,share
IND1990,0,449882.93,0.36553891655510934
IND1990,10,2189.47,0.0017789883506580595
IND1990,20,3780.3054,0.0030715740651983156
IND1990,60,52111.9632,0.04234201677242506
IND1990,111,2086.5,0.0016953231574984087
IND1990,121,2615.11,0.0021248293996672246
IND1990,142,2809.9348,0.0022831284627369565
IND1990,242,2036.86,0.0016549896604755375
IND1990,300,2319.261,0.0018844461450193708
IND1990,322,2586.5819,0.002101649745428341
IND1990,331,1969.44,0.0016002095563401228
IND1990,372,1841.17,0.001495987605028203
IND1990,400,234.2,0.0001902922039233776
IND1990,401,8505.539999999999,0.006910922084365691
IND1990,402,14209.4524,0.01154546547284512
IND1990,410,17501.1675,0.014220050105923093
IND1990,411,4870.7300000000005,0.0039575659539526605
IND1990,421,28909.2299,0.023489329937654162
IND1990,432,20142.800000000003,0.01636642956954659
IND1990,440,3971.5195,0.0032269393619968854
IND1990,471,5668.3267,0.004605629292488155
IND1990,510,4564.767,0.0037089648711644088
IND1990,512,738.429,0.0005999883938981032
IND1990,550,5241.4336,0.004258770074560389
IND1990,580,4702.95,0.0038212413340796268
IND1990,591,15479.6138,0.012577497121625661
IND1990,601,10654.8843,0.00865730749784626
IND1990,623,12141.956,0.009865583122035346
IND1990,631,2591.16,0.0021053695436297998
IND1990,641,27622.9694,0.022444217446772073
IND1990,642,2573.0376,0.0020906447296401283
IND1990,663,8679.62,0.007052365580774666
IND1990,691,16110.9856,0.013090499390272417
IND1990,700,13675.5102,0.011111626711078695
IND1990,702,10252.221,0.008330135479075722
IND1990,710,9825.029999999999,0.007983034211414613
IND1990,711,6704.0454,0.005447171538720673
IND1990,712,12984.3337,0.010550031922500357
IND1990,721,2239.51,0.001819646855714959
IND1990,722,5463.8,0.004439447240805083
IND1990,731,11261.4995,0.009150194531754974
IND1990,732,11439.1281,0.009294521336937827
IND1990,740,17865.182,0.014515819198429782
IND1990,741,5018.17,0.00407736391529537
IND1990,751,18746.3694,0.015231801659640332
IND1990,760,7665.34,0.006228242708889937
IND1990,761,3726.1184,0.003027546039348631
IND1990,762,10948.8788,0.008896183933996353
IND1990,810,6097.8314,0.00495461048787009
IND1990,812,13144.1558,0.010679890588788413
IND1990,820,3974.9346,0.003229714199339408
IND1990,821,2739.01,0.002225500638207389
IND1990,831,61115.3014,0.04965740989260241
IND1990,832,28941.1112,0.0235152341342423
IND1990,840,84730.9811,0.06884562397143063
IND1990,841,5131.360000000001,0.004169333063724436
IND1990,842,39249.2193,0.031890779004564336
IND1990,850,2256.5141,0.0018334630284934962
IND1990,851,3857.23,0.003134076847734286
IND1990,860,8589.1864,0.006978886464409486
IND1990,862,2438.1299999999997,0.001981029595011548
IND1990,870,6616.6900000000005,0.005376193521681355
IND1990,871,15655.891,0.01272072588716555
IND1990,872,6784.18,0.0055122825107297175
IND1990,880,2215.5439,0.0018001739181041645
IND1990,890,5893.7039,0.004788752794204978
IND1990,900,3715.8599999999997,0.00301921088330795
IND1990,910,12490.106,0.010148461989652443
IND1990,921,2052.68,0.0016678437282213437
IND1990,922,3077.28,0.0025003518073839943
IND1990,932,10259.3315,0.008335912903140612
IND1990,952,10553.1401,0.00857463829180689
