occ2010,soc_code,notes
10,,
20,,
50,,
110,,
120,,
160,,
205,,
310,,
340,,
350,,
410,,
430,,
540,,
565,,
630,,
710,,
740,,
800,,
840,,
850,,
1007,,
1020,,
1106,,
1220,,
1360,,
1460,,
1965,,
2000,,
2010,,
2016,,
2100,,
2310,,
2340,,
2400,,
2540,,
2600,,
2630,,
2910,,
3030,,
3060,,
3160,,
3245,,
3255,,
3300,,
3500,,
3510,,
3535,,
3600,,
3640,,
3645,,
3730,,
3930,,
4050,,
4110,,
4140,,
4220,,
4230,,
4250,,
4530,,
4600,,
4610,,
4700,,
4710,,
4720,,
4760,,
4840,,
4850,,
4920,,
5000,,
5110,,
5120,,
5160,,
5220,,
5240,,
5400,,
5510,,
5610,,
5620,,
5860,,
5940,,
6220,,
6230,,
6260,,
6355,,
6440,,
6515,,
7120,,
7130,,
7140,,
7200,,
7210,,
7220,,
7240,,
7315,,
7330,,
7340,,
7630,,
7700,,
7800,,
8140,,
8450,,
8610,,
9000,,
9050,,
9120,,
9130,,
9140,,
9150,,
9240,,
9360,,
9420,,
9620,,
9999,,
