Country of Citizenship,Continent,Region,# of Active Students,Male,Female,ASSOCIATE,BACHELOR'S,DOCTORATE,FLIGHT TRAINING,HIGH SCHOOL,LANGUAGE TRAINING,MASTER'S,OTHER,OTHER VOCATIONAL SCHOOL,PRIMARY,SECONDARY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
AFGHANISTAN,Asia,Southern Asia,398.0,228.0,170.0,29.0,196.0,37.0,3.0,0.0,15.0,47.0,8.0,0.0,9.0,54.0,1.0,2.0,0.0,7.0,39.0,4.0,8.0,9.0,0.0,10.0,6.0,0.0,0.0,12.0,2.0,6.0,9.0,5.0,11.0,1.0,37.0,5.0,8.0,4.0,11.0,6.0,0.0,0.0,1.0,15.0,1.0,2.0,3.0,7.0,3.0,1.0,32.0,15.0,4.0,2.0,30.0,0.0,3.0,4.0,2.0,0.0,22.0,3.0,29.0,0.0,10.0,0.0,6.0,0.0,0.0
ALBANIA,Europe,Southern Europe,918.0,438.0,480.0,202.0,370.0,94.0,0.0,0.0,71.0,119.0,24.0,2.0,0.0,36.0,0.0,1.0,3.0,7.0,34.0,8.0,23.0,7.0,5.0,46.0,8.0,0.0,0.0,7.0,9.0,43.0,12.0,2.0,3.0,0.0,121.0,8.0,4.0,67.0,14.0,12.0,0.0,6.0,2.0,10.0,0.0,2.0,6.0,44.0,3.0,2.0,190.0,18.0,3.0,4.0,60.0,0.0,6.0,2.0,0.0,3.0,53.0,8.0,20.0,0.0,2.0,17.0,8.0,4.0,1.0
ALGERIA,Africa,Northern Africa,397.0,314.0,83.0,49.0,48.0,21.0,47.0,0.0,132.0,63.0,25.0,1.0,1.0,10.0,0.0,0.0,0.0,38.0,51.0,4.0,1.0,3.0,1.0,18.0,3.0,0.0,0.0,9.0,0.0,17.0,4.0,3.0,0.0,0.0,27.0,3.0,1.0,2.0,2.0,3.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,8.0,0.0,0.0,114.0,1.0,1.0,0.0,15.0,0.0,1.0,1.0,1.0,1.0,29.0,1.0,21.0,0.0,1.0,2.0,2.0,1.0,1.0
ANDORRA,Europe,Southern Europe,15.0,8.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ANGOLA,Africa,Central Africa,1647.0,948.0,698.0,443.0,764.0,5.0,3.0,0.0,238.0,82.0,17.0,2.0,6.0,87.0,0.0,0.0,2.0,44.0,60.0,57.0,5.0,18.0,0.0,148.0,34.0,0.0,0.0,5.0,1.0,26.0,46.0,6.0,6.0,31.0,45.0,19.0,0.0,35.0,3.0,6.0,0.0,1.0,3.0,24.0,21.0,0.0,0.0,4.0,0.0,0.0,60.0,5.0,107.0,4.0,30.0,0.0,0.0,30.0,1.0,7.0,700.0,3.0,37.0,0.0,0.0,7.0,1.0,4.0,1.0
ANGUILLA,North America,Caribbean,19.0,7.0,12.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
ANTIGUA AND BARBUDA,North America,Caribbean,270.0,122.0,148.0,34.0,175.0,8.0,2.0,0.0,0.0,38.0,2.0,4.0,3.0,4.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,8.0,1.0,46.0,7.0,0.0,0.0,5.0,1.0,7.0,2.0,1.0,1.0,2.0,5.0,5.0,1.0,5.0,3.0,8.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,74.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,57.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.0
ARGENTINA,South America,South America,2403.0,1324.0,1079.0,181.0,754.0,356.0,7.0,1.0,355.0,529.0,145.0,23.0,7.0,45.0,0.0,36.0,8.0,9.0,303.0,21.0,25.0,44.0,1.0,343.0,55.0,0.0,6.0,21.0,7.0,97.0,23.0,7.0,6.0,12.0,205.0,32.0,2.0,30.0,14.0,36.0,0.0,12.0,1.0,58.0,0.0,8.0,5.0,30.0,4.0,5.0,498.0,27.0,21.0,13.0,90.0,6.0,13.0,14.0,5.0,18.0,108.0,43.0,44.0,0.0,3.0,9.0,12.0,11.0,2.0
ARMENIA,Asia,Western Asia,250.0,128.0,122.0,19.0,62.0,59.0,1.0,0.0,13.0,77.0,10.0,2.0,0.0,7.0,0.0,1.0,0.0,1.0,61.0,2.0,2.0,4.0,0.0,3.0,1.0,0.0,2.0,5.0,0.0,16.0,2.0,2.0,2.0,1.0,24.0,3.0,0.0,13.0,2.0,3.0,0.0,2.0,0.0,4.0,1.0,2.0,0.0,3.0,4.0,2.0,26.0,4.0,2.0,1.0,16.0,0.0,2.0,1.0,0.0,2.0,6.0,12.0,3.0,0.0,3.0,2.0,1.0,0.0,1.0
ARUBA,North America,Caribbean,55.0,32.0,23.0,10.0,31.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,34.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AUSTRALIA,Australia & Pacific Islands,Oceania,4539.0,2636.0,1901.0,478.0,2226.0,408.0,18.0,3.0,3.0,720.0,313.0,150.0,19.0,201.0,4.0,40.0,20.0,47.0,836.0,68.0,85.0,49.0,4.0,127.0,74.0,0.0,34.0,73.0,25.0,148.0,49.0,52.0,42.0,34.0,367.0,53.0,8.0,58.0,43.0,86.0,0.0,24.0,23.0,102.0,27.0,29.0,19.0,98.0,20.0,17.0,768.0,55.0,69.0,42.0,173.0,0.0,28.0,62.0,22.0,63.0,194.0,58.0,56.0,0.0,15.0,62.0,31.0,42.0,14.0
AUSTRIA,Europe,Western Europe,901.0,477.0,424.0,58.0,294.0,141.0,14.0,0.0,39.0,162.0,74.0,25.0,6.0,88.0,1.0,4.0,2.0,12.0,158.0,17.0,20.0,16.0,0.0,73.0,9.0,0.0,17.0,5.0,1.0,29.0,9.0,3.0,3.0,6.0,92.0,13.0,6.0,8.0,2.0,10.0,0.0,2.0,1.0,17.0,0.0,4.0,2.0,23.0,4.0,2.0,179.0,10.0,4.0,16.0,26.0,1.0,13.0,5.0,0.0,7.0,26.0,7.0,17.0,0.0,5.0,7.0,4.0,3.0,0.0
AZERBAIJAN,Asia,Western Asia,477.0,359.0,118.0,32.0,162.0,41.0,0.0,1.0,53.0,135.0,26.0,3.0,3.0,21.0,0.0,2.0,2.0,3.0,66.0,5.0,8.0,22.0,2.0,23.0,3.0,0.0,0.0,3.0,0.0,28.0,3.0,5.0,2.0,2.0,50.0,4.0,3.0,5.0,6.0,30.0,0.0,1.0,0.0,3.0,2.0,0.0,5.0,12.0,3.0,0.0,66.0,6.0,4.0,0.0,14.0,0.0,6.0,1.0,0.0,0.0,37.0,2.0,30.0,0.0,2.0,4.0,0.0,0.0,2.0
"BAHAMAS, THE",North America,Caribbean,2976.0,1448.0,1528.0,426.0,1900.0,98.0,10.0,3.0,2.0,260.0,24.0,19.0,10.0,224.0,1.0,75.0,145.0,5.0,27.0,8.0,25.0,22.0,2.0,923.0,182.0,0.0,0.0,16.0,3.0,30.0,40.0,54.0,14.0,42.0,34.0,45.0,7.0,45.0,83.0,46.0,0.0,27.0,0.0,105.0,20.0,20.0,3.0,21.0,10.0,2.0,112.0,43.0,133.0,2.0,54.0,2.0,36.0,23.0,12.0,137.0,189.0,2.0,82.0,0.0,7.0,8.0,16.0,33.0,3.0
BAHRAIN,Asia,Western Asia,497.0,347.0,150.0,48.0,316.0,15.0,7.0,0.0,16.0,58.0,16.0,2.0,0.0,19.0,0.0,11.0,0.0,8.0,53.0,8.0,10.0,11.0,0.0,49.0,9.0,0.0,0.0,3.0,2.0,13.0,21.0,2.0,3.0,2.0,104.0,3.0,1.0,20.0,5.0,4.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,31.0,7.0,1.0,5.0,17.0,0.0,3.0,1.0,1.0,6.0,38.0,1.0,19.0,0.0,1.0,6.0,1.0,7.0,0.0
BANGLADESH,Asia,Southern Asia,7737.0,5806.0,1929.0,764.0,1634.0,2433.0,2.0,0.0,273.0,2527.0,82.0,3.0,1.0,18.0,4.0,149.0,87.0,65.0,393.0,28.0,103.0,50.0,61.0,372.0,125.0,0.0,9.0,159.0,37.0,196.0,197.0,143.0,69.0,115.0,261.0,88.0,17.0,177.0,234.0,158.0,0.0,57.0,13.0,131.0,81.0,24.0,19.0,95.0,86.0,30.0,1203.0,300.0,106.0,47.0,209.0,1.0,7.0,111.0,82.0,152.0,1043.0,55.0,370.0,0.0,5.0,80.0,80.0,36.0,17.0
BARBADOS,North America,Caribbean,376.0,181.0,195.0,35.0,221.0,27.0,5.0,0.0,0.0,71.0,6.0,3.0,0.0,8.0,0.0,6.0,7.0,4.0,8.0,3.0,3.0,15.0,3.0,89.0,10.0,0.0,0.0,10.0,3.0,11.0,3.0,6.0,6.0,5.0,17.0,8.0,3.0,12.0,2.0,10.0,0.0,3.0,0.0,7.0,1.0,2.0,1.0,11.0,3.0,0.0,41.0,3.0,3.0,5.0,10.0,6.0,4.0,2.0,1.0,6.0,14.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0
BASSAS DA INDIA,0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELARUS,Europe,Eastern Europe,398.0,147.0,251.0,44.0,136.0,73.0,0.0,0.0,52.0,52.0,19.0,0.0,1.0,21.0,1.0,4.0,1.0,4.0,30.0,10.0,3.0,1.0,4.0,18.0,13.0,0.0,1.0,4.0,1.0,21.0,3.0,4.0,2.0,2.0,18.0,3.0,1.0,8.0,11.0,9.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,13.0,1.0,0.0,97.0,4.0,5.0,2.0,22.0,0.0,1.0,4.0,0.0,3.0,24.0,5.0,11.0,0.0,1.0,1.0,6.0,1.0,1.0
BELGIUM,Europe,Western Europe,1342.0,732.0,610.0,128.0,417.0,128.0,55.0,0.0,261.0,215.0,59.0,23.0,3.0,53.0,1.0,6.0,8.0,55.0,334.0,10.0,12.0,11.0,3.0,90.0,20.0,0.0,5.0,7.0,3.0,42.0,12.0,8.0,4.0,5.0,131.0,21.0,3.0,26.0,13.0,12.0,0.0,4.0,2.0,32.0,1.0,4.0,3.0,15.0,6.0,5.0,214.0,12.0,10.0,5.0,36.0,1.0,6.0,10.0,1.0,14.0,40.0,5.0,21.0,0.0,4.0,24.0,14.0,10.0,1.0
BELIZE,North America,Central America,361.0,162.0,199.0,51.0,201.0,30.0,1.0,0.0,5.0,54.0,7.0,4.0,0.0,8.0,0.0,5.0,12.0,0.0,41.0,1.0,1.0,1.0,0.0,69.0,22.0,0.0,0.0,3.0,2.0,6.0,0.0,3.0,36.0,7.0,10.0,2.0,0.0,5.0,3.0,18.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,4.0,7.0,0.0,19.0,3.0,5.0,1.0,3.0,0.0,2.0,1.0,0.0,1.0,38.0,2.0,5.0,1.0,0.0,6.0,4.0,3.0,0.0
BENIN,Africa,Western Africa,373.0,227.0,146.0,111.0,118.0,23.0,0.0,0.0,67.0,40.0,6.0,0.0,0.0,8.0,0.0,8.0,3.0,2.0,14.0,1.0,1.0,10.0,0.0,8.0,9.0,0.0,0.0,5.0,0.0,37.0,7.0,8.0,1.0,3.0,21.0,9.0,2.0,6.0,9.0,10.0,0.0,0.0,0.0,14.0,3.0,24.0,1.0,10.0,1.0,0.0,47.0,4.0,8.0,3.0,18.0,0.0,0.0,0.0,1.0,0.0,42.0,1.0,17.0,0.0,0.0,1.0,2.0,1.0,1.0
BERMUDA,North America,Northern America,595.0,294.0,301.0,59.0,355.0,6.0,1.0,2.0,0.0,47.0,9.0,8.0,9.0,99.0,0.0,46.0,0.0,3.0,16.0,3.0,27.0,5.0,1.0,106.0,54.0,0.0,0.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,49.0,3.0,20.0,6.0,4.0,4.0,0.0,0.0,0.0,23.0,0.0,4.0,5.0,10.0,0.0,1.0,33.0,5.0,3.0,0.0,27.0,1.0,56.0,13.0,0.0,11.0,7.0,7.0,10.0,0.0,13.0,1.0,0.0,5.0,1.0
BHUTAN,Asia,Southern Asia,157.0,77.0,80.0,13.0,97.0,3.0,8.0,0.0,2.0,26.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,2.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,20.0,1.0,2.0,2.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,7.0,1.0,2.0,19.0,0.0,3.0,0.0,0.0,0.0,28.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
BOLIVIA,South America,South America,1240.0,623.0,617.0,163.0,647.0,64.0,6.0,0.0,158.0,137.0,31.0,7.0,3.0,24.0,0.0,8.0,122.0,7.0,76.0,9.0,6.0,26.0,0.0,175.0,26.0,0.0,1.0,11.0,8.0,31.0,35.0,23.0,7.0,29.0,51.0,17.0,3.0,12.0,13.0,34.0,0.0,2.0,0.0,17.0,1.0,4.0,1.0,10.0,12.0,1.0,68.0,20.0,27.0,4.0,29.0,8.0,4.0,7.0,4.0,5.0,152.0,46.0,70.0,0.0,3.0,5.0,6.0,4.0,0.0
BOSNIA AND HERZEGOVINA,Europe,Southern Europe,384.0,155.0,229.0,41.0,225.0,31.0,0.0,0.0,22.0,44.0,9.0,0.0,0.0,12.0,0.0,1.0,8.0,1.0,17.0,2.0,8.0,5.0,3.0,35.0,4.0,0.0,0.0,15.0,1.0,44.0,7.0,3.0,2.0,5.0,19.0,11.0,4.0,4.0,4.0,11.0,0.0,1.0,0.0,19.0,0.0,1.0,1.0,10.0,3.0,1.0,42.0,4.0,21.0,3.0,11.0,0.0,3.0,5.0,0.0,2.0,16.0,1.0,14.0,0.0,9.0,0.0,2.0,1.0,0.0
BOTSWANA,Africa,Southern Africa,205.0,87.0,118.0,14.0,97.0,30.0,0.0,0.0,1.0,41.0,7.0,4.0,0.0,11.0,0.0,1.0,2.0,1.0,20.0,1.0,5.0,6.0,0.0,9.0,1.0,0.0,0.0,5.0,1.0,5.0,4.0,2.0,1.0,1.0,21.0,2.0,0.0,11.0,2.0,8.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0,11.0,22.0,9.0,2.0,8.0,0.0,1.0,0.0,3.0,3.0,14.0,0.0,8.0,0.0,2.0,1.0,2.0,0.0,0.0
BRAZIL,South America,South America,18873.0,9507.0,9365.0,2326.0,5217.0,1178.0,52.0,6.0,4764.0,2704.0,1403.0,133.0,100.0,990.0,1.0,100.0,75.0,89.0,3637.0,132.0,194.0,166.0,24.0,3930.0,338.0,0.0,47.0,158.0,90.0,944.0,202.0,205.0,129.0,92.0,1117.0,168.0,23.0,304.0,159.0,340.0,0.0,76.0,36.0,330.0,20.0,65.0,53.0,419.0,52.0,70.0,1898.0,210.0,176.0,121.0,417.0,11.0,43.0,118.0,23.0,162.0,792.0,534.0,251.0,0.0,17.0,128.0,94.0,81.0,12.0
BRITISH VIRGIN ISLANDS,North America,Caribbean,115.0,54.0,61.0,15.0,83.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,5.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,33.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,3.0,0.0,2.0,4.0,11.0,1.0,0.0,2.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
BRUNEI,Asia,South-Eastern Asia,52.0,30.0,22.0,4.0,32.0,3.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,1.0,1.0,4.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
BULGARIA,Europe,Eastern Europe,1220.0,531.0,689.0,136.0,416.0,238.0,1.0,0.0,108.0,226.0,62.0,12.0,1.0,20.0,0.0,2.0,2.0,7.0,131.0,17.0,20.0,10.0,13.0,61.0,17.0,0.0,8.0,8.0,0.0,168.0,14.0,5.0,2.0,11.0,147.0,27.0,7.0,16.0,9.0,22.0,0.0,2.0,4.0,23.0,0.0,2.0,2.0,42.0,2.0,12.0,172.0,19.0,8.0,3.0,66.0,0.0,12.0,11.0,0.0,7.0,38.0,10.0,36.0,0.0,2.0,10.0,7.0,4.0,2.0
BURKINA FASO,Africa,Western Africa,975.0,656.0,319.0,279.0,210.0,30.0,1.0,0.0,352.0,87.0,11.0,0.0,0.0,5.0,0.0,4.0,6.0,2.0,17.0,1.0,2.0,14.0,3.0,44.0,67.0,0.0,1.0,7.0,2.0,6.0,4.0,9.0,3.0,3.0,19.0,38.0,0.0,6.0,43.0,3.0,0.0,1.0,1.0,4.0,2.0,35.0,3.0,39.0,2.0,1.0,301.0,24.0,4.0,4.0,32.0,0.0,0.0,1.0,6.0,4.0,141.0,2.0,22.0,0.0,1.0,8.0,28.0,5.0,0.0
BURMA,Asia,South-Eastern Asia,1392.0,757.0,635.0,253.0,800.0,86.0,2.0,0.0,28.0,147.0,60.0,1.0,3.0,12.0,0.0,9.0,6.0,8.0,358.0,9.0,16.0,7.0,0.0,59.0,11.0,0.0,5.0,22.0,3.0,53.0,25.0,8.0,15.0,7.0,133.0,27.0,2.0,19.0,19.0,41.0,0.0,2.0,2.0,6.0,2.0,0.0,13.0,20.0,1.0,6.0,169.0,21.0,10.0,26.0,72.0,0.0,12.0,6.0,2.0,7.0,38.0,2.0,39.0,0.0,10.0,42.0,18.0,2.0,2.0
BURUNDI,Africa,Eastern Africa,197.0,107.0,90.0,33.0,113.0,4.0,1.0,0.0,6.0,25.0,6.0,0.0,0.0,9.0,0.0,1.0,2.0,6.0,14.0,3.0,3.0,1.0,0.0,3.0,8.0,0.0,0.0,12.0,2.0,6.0,7.0,1.0,3.0,2.0,8.0,8.0,1.0,2.0,27.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,15.0,1.0,12.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,2.0,0.0,1.0,3.0,4.0,0.0,0.0
CAMBODIA,Asia,South-Eastern Asia,622.0,347.0,275.0,205.0,208.0,22.0,5.0,0.0,24.0,80.0,23.0,1.0,12.0,42.0,0.0,2.0,1.0,4.0,199.0,5.0,2.0,2.0,0.0,13.0,4.0,0.0,5.0,23.0,2.0,8.0,7.0,1.0,6.0,3.0,66.0,7.0,2.0,5.0,21.0,4.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,5.0,0.0,1.0,33.0,13.0,8.0,17.0,29.0,0.0,8.0,1.0,1.0,0.0,41.0,9.0,11.0,0.0,2.0,38.0,1.0,0.0,0.0
CAMEROON,Africa,Central Africa,1509.0,740.0,768.0,358.0,549.0,153.0,0.0,0.0,81.0,313.0,30.0,1.0,0.0,24.0,0.0,16.0,30.0,11.0,65.0,10.0,5.0,34.0,8.0,49.0,58.0,0.0,7.0,17.0,5.0,41.0,7.0,20.0,9.0,51.0,58.0,101.0,3.0,28.0,59.0,16.0,0.0,20.0,1.0,22.0,16.0,9.0,0.0,31.0,29.0,4.0,77.0,36.0,136.0,4.0,38.0,0.0,4.0,7.0,5.0,13.0,252.0,9.0,36.0,0.0,3.0,15.0,18.0,12.0,4.0
CANADA,North America,Northern America,30646.0,15327.0,15314.0,1754.0,13906.0,5545.0,30.0,14.0,64.0,4965.0,2607.0,367.0,148.0,1246.0,63.0,173.0,68.0,414.0,3947.0,220.0,595.0,316.0,31.0,1198.0,366.0,2.0,130.0,281.0,244.0,1212.0,413.0,166.0,168.0,152.0,2571.0,362.0,309.0,2229.0,451.0,413.0,0.0,70.0,187.0,489.0,434.0,87.0,280.0,546.0,70.0,74.0,5727.0,544.0,254.0,418.0,1331.0,32.0,277.0,173.0,53.0,346.0,895.0,340.0,385.0,2.0,217.0,436.0,280.0,140.0,66.0
